||||||||
SEMESTRE 1|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
TOTAL S2||30|30|110|158|||
||||||||
SEMESTRE 3|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe||
UE 31 obligatoire|Anglais - Communication|2|2||24|20||
UE 32 obligatoire|Simulation de stratégie d'entreprise |2|2||24|||
UE 33 |Automates cellulaires et réseaux d'interactions|2|2|10|10|40||
UE 34 |Modélisation, calcul scientifique, outils numériques|6|6|27|27|40||
UE 35 |Pratiques des contraintes|4|4|20|15|40||
UE 36 |Processus aléatoires, modélisation et simulations|4|4|20|20|40||
UE 37 |Sécurité et protocoles|4|4|20|20|40||
UE 38 |Projet 1|6|6|||||
UE 39  (remplace 7 ECTS au choix parmi  UE 33 à 38)|Initiation à la recherche|7|7|57||||
TOTAL S3||38|38|154|140|||
||||||||
SEMESTRE 4|Intitulé de l’UE ou EC|COEF|ECTS|Nb d’heures d’enseignement 
en présentiel pour l’étudiant||||
||||CM|TD|Effectif
étudiants par groupe|TP|Effectif
étudiants par groupe
UE 40 obligatoire|Programmation multi-coeurs |3|3|20|15|40||
UE 41 obligatoire|Recherche opérationnelle|3|3|10|20|40||
UE 42 obligatoire|Visualisation avancée |3|3|20|15|40||
UE 43 obligatoire|Aide à la décision et Data-mining|3|3|18|18|40||
UE 44 |Interventions d'industriels|1|1|80||||
UE 45|Projet 2 |5|5|||||
UE 46|Préparation au stage recherche|6|6|||||
UE 47 obligatoire|Stage|12|12|||||
TOTAL S4||30|30|148|68|||
